English,Chinese,Category,Notes
Setpoint room air quality for protection,防护模式房间空气质量设定值,HVAC,设定值
Room air quality,房间空气质量,HVAC,环境参数
CO2 concentration,二氧化碳浓度,HVAC,环境参数
ppm,ppm,HVAC,浓度单位
Comfort configuration,舒适配置,HVAC,配置
Pre-Comfort configuration,预舒适配置,HVAC,配置
Economy configuration,经济配置,HVAC,配置
Protection configuration,防护配置,HVAC,配置
Cool down configuration,冷却配置,HVAC,配置
Configuration,配置,HVAC,设置


# ==================== 房间压差与风量跟踪 ====================
Room pressurization mode,房间压差模式,HVAC,控制模式
Neutral,中性,HVAC,压差模式
Positive pressure,正压,HVAC,压差模式
Negative pressure,负压,HVAC,压差模式
Transferred air volume flow,传递风量,HVAC,监控参数
Transfer flow,传递流量,HVAC,流量参数
Air flow transfer,风量转移,HVAC,监控参数
Tracking mode,跟踪模式,HVAC,控制策略
Supply air tracks extract air,送风跟踪排风,HVAC,跟踪模式
Extract air tracks supply air,排风跟踪送风,HVAC,跟踪模式
Fume hood flow,通风柜风量,HVAC,监控参数
Fume hood exhaust,通风柜排风,HVAC,排风类型
Single tracking pair,单跟踪对,HVAC,配置
Lab room,实验室,HVAC,功能区域
Large lab,大型实验室,HVAC,功能区域
Large lab with fume hoods,带通风柜的大型实验室,HVAC,配置
Flow monitoring,流量监控,HVAC,监控功能
Flow rates for supply and extract,送排风流量,HVAC,流量参数
Additional supply air volume flow,附加送风量,HVAC,配置参数
Additional extract air volume flow,附加排风量,HVAC,配置参数
Effective additional supply air volume flow,有效附加送风量,HVAC,计算值
Effective additional extract air volume flow,有效附加排风量,HVAC,计算值


# ==================== 差压串级控制 ====================
Room differential pressure,房间差压,HVAC,物理量
Room differential pressure setpoint,房间差压设定值,HVAC,设定值
Differential pressure cascade,差压串级,HVAC,控制方式
Differential pressure controller,差压控制器,HVAC,控制器
Room pressure PID,房间压力PID,HVAC,控制器
Room pressure control,房间压力控制,HVAC,控制功能
Pressure control loop,压力控制回路,HVAC,控制回路
Pressure loop,压力回路,HVAC,控制回路
Pressure reset,压力重置,HVAC,控制策略
Minimum transferred air volume flow,最小传递风量,HVAC,限值
Maximum transferred air volume flow,最大传递风量,HVAC,限值
Delay for room pressure control after door close,门关闭后压力控制延迟,HVAC,时间参数
Time constant for room differential pressure,房间差压时间常数,HVAC,滤波参数
Room pressure alarm,房间压力报警,HVAC,报警
Room pressure warning,房间压力警告,HVAC,警告
Door contact,门触点,HVAC,输入信号
Door open,门打开,HVAC,状态


# ==================== 房间热功率控制 ====================
Room thermal power control,房间热功率控制,HVAC,控制功能
Thermal power control feature active,热功率控制功能激活,HVAC,功能状态
Thermal power control feature inactive,热功率控制功能未激活,HVAC,功能状态
Room temperature feedback,房间温度反馈,HVAC,控制信号
Supply air terminal,送风末端,HVAC,设备
Temperature loop,温度回路,HVAC,控制回路
Temperature cascade control,温度串级控制,HVAC,控制方式
Feedback controller,反馈控制器,Control,控制器
Heat flow,热流量,HVAC,物理量
Discharge temperature setpoint,送风温度设定值,HVAC,参数
Supply temperature setpoint,送风温度设定值,HVAC,参数
Maximum supply air temperature setpoint,最大送风温度设定值,HVAC,参数
Minimum supply air temperature setpoint,最小送风温度设定值,HVAC,参数
Offset,偏移,Control,修正参数
Offset for heating coil temperature setpoint,加热盘管温度设定值偏移,HVAC,参数
Offset for cooling VAV start,制冷VAV开启偏移,HVAC,参数
Offset for heating VAV start,制热VAV开启偏移,HVAC,参数
Present cooling setpoint,当前制冷设定值,HVAC,参数
Present heating setpoint,当前制热设定值,HVAC,参数
Delta,增量,HVAC,参数
Delta cooling setpoint for pre-comfort,预舒适制冷设定值增量,HVAC,参数
Delta heating setpoint for pre-comfort,预舒适制热设定值增量,HVAC,参数
Comfort cooling configuration,舒适制冷配置,HVAC,配置
Pre-Comfort cooling configuration,预舒适制冷配置,HVAC,配置
Economy cooling configuration,经济制冷配置,HVAC,配置
Protection cooling configuration,防护制冷配置,HVAC,配置
Cool down configuration,冷却配置,HVAC,配置
Free cooling configuration,免费供冷配置,HVAC,配置
Comfort heating configuration,舒适制热配置,HVAC,配置
Pre-Comfort heating configuration,预舒适制热配置,HVAC,配置
Economy heating configuration,经济制热配置,HVAC,配置
Protection heating configuration,防护制热配置,HVAC,配置
Warm-up configuration,预热配置,HVAC,配置
Radiant devices,辐射设备,HVAC,设备类别
Air treatment devices,空气处理设备,HVAC,设备类别
Radiant & air treatment devices,辐射与空气处理设备,HVAC,配置选项
Next room operating mode,下一房间运行模式,HVAC,状态
Draft,气流/冷风感,HVAC,人体舒适感


# ==================== 风机盘管与热泵控制 ====================
Heat pump,热泵,HVAC,设备
Heat pump room temperature control,热泵房间温度控制,HVAC,控制功能
Fan coil unit,风机盘管机组,HVAC,末端设备
Fan coil,风机盘管,HVAC,末端设备
Radiator,散热器,HVAC,末端设备
Radiant ceiling,辐射吊顶,HVAC,末端设备
Radiant panel,辐射板,HVAC,末端设备
Radiant device,辐射设备,HVAC,设备类别
Air treatment devices,空气处理设备,HVAC,设备类别
Radiant devices,辐射设备,HVAC,设备类别
Radiant & air treatment devices,辐射与空气处理设备,HVAC,配置选项
Room temperature controller,房间温度控制器,HVAC,控制器
Room temperature controller cooling,房间温度制冷控制器,HVAC,控制器
Room temperature controller heating,房间温度制热控制器,HVAC,控制器
Room temperature controller cooling for fan,风机房间温度制冷控制器,HVAC,控制器
Room temperature controller cooling for radiant ceiling,辐射吊顶房间温度制冷控制器,HVAC,控制器
Room temperature controller cooling for heating/cooling coil,冷热盘管房间温度制冷控制器,HVAC,控制器
Room temperature controller heating for fan,风机房间温度制热控制器,HVAC,控制器
Room temperature controller heating for radiant ceiling,辐射吊顶房间温度制热控制器,HVAC,控制器
Room temperature controller heating for heating/cooling coil,冷热盘管房间温度制热控制器,HVAC,控制器
Room temperature controller heating for heating coil,加热盘管房间温度制热控制器,HVAC,控制器
Room temperature controller heating for radiator,散热器房间温度制热控制器,HVAC,控制器
Cooling coil,冷却盘管,HVAC,设备
Heating coil,加热盘管,HVAC,设备
Heating/cooling coil,冷热盘管,HVAC,设备
Outside air damper,新风风阀,HVAC,设备
OA damper,新风风阀,HVAC,设备缩写
Radiant ceiling cooling,辐射吊顶制冷,HVAC,功能
Fan operation,风机运行,HVAC,控制参数
Series,串联,HVAC,运行方式
Parallel,并联,HVAC,运行方式
Coil valve start position by parallel operation,并联运行时盘管阀启动位置,HVAC,控制参数
Coil valve end position by parallel operation,并联运行时盘管阀终止位置,HVAC,控制参数
Fan end speed by parallel operation,并联运行时风机终止速度,HVAC,控制参数
Offset for fan start,风机启动偏移,HVAC,控制参数
Fan speed,风机速度,HVAC,控制参数
Valve position,阀位,HVAC,控制参数
Temperature sequence,温度序列,HVAC,控制顺序
Heating sequence,制热顺序,HVAC,控制顺序
Cooling sequence,制冷顺序,HVAC,控制顺序
Outside air damper cooling sequence,新风风阀制冷顺序,HVAC,控制顺序
Radiant ceiling cooling sequence,辐射吊顶制冷顺序,HVAC,控制顺序
Heating/cooling coil cooling sequence,冷热盘管制冷顺序,HVAC,控制顺序
Fan cooling sequence,风机制冷顺序,HVAC,控制顺序
Radiator heating sequence,散热器制热顺序,HVAC,控制顺序
Radiant ceiling heating sequence,辐射吊顶制热顺序,HVAC,控制顺序
Heating/cooling coil heating sequence,冷热盘管制热顺序,HVAC,控制顺序
Heating coil heating sequence,加热盘管制热顺序,HVAC,控制顺序
Fan heating sequence,风机制热顺序,HVAC,控制顺序
Controller mode,控制器模式,HVAC,控制参数
Continuous,连续,HVAC,控制模式
2-position,两位,HVAC,控制模式


# ==================== 风机盘管温度设定值 ====================
Present cooling setpoint,当前制冷设定值,HVAC,参数
Present heating setpoint,当前制热设定值,HVAC,参数
Present cooling setpoint for comfort,舒适当前制冷设定值,HVAC,参数
Present cooling setpoint for pre-comfort,预舒适当前制冷设定值,HVAC,参数
Present cooling setpoint for economy,经济当前制冷设定值,HVAC,参数
Present cooling setpoint for protection,防护当前制冷设定值,HVAC,参数
Present heating setpoint for comfort,舒适当前制热设定值,HVAC,参数
Present heating setpoint for pre-comfort,预舒适当前制热设定值,HVAC,参数
Present heating setpoint for economy,经济当前制热设定值,HVAC,参数
Present heating setpoint for protection,防护当前制热设定值,HVAC,参数
Cooling setpoint for comfort,舒适制冷设定值,HVAC,参数
Cooling setpoint for pre-comfort,预舒适制冷设定值,HVAC,参数
Cooling setpoint for economy,经济制冷设定值,HVAC,参数
Cooling setpoint for protection,防护制冷设定值,HVAC,参数
Heating setpoint for comfort,舒适制热设定值,HVAC,参数
Heating setpoint for pre-comfort,预舒适制热设定值,HVAC,参数
Heating setpoint for economy,经济制热设定值,HVAC,参数
Heating setpoint for protection,防护制热设定值,HVAC,参数
Delta cooling setpoint for pre-comfort,预舒适制冷设定值增量,HVAC,参数
Delta heating setpoint for pre-comfort,预舒适制热设定值增量,HVAC,参数
Delta,增量,HVAC,参数


# ==================== 风机盘管配置参数 ====================
Fan operation,风机运行,HVAC,控制参数
Series,串联,HVAC,运行方式
Parallel,并联,HVAC,运行方式
Comfort configuration,舒适配置,HVAC,配置
Pre-Comfort configuration,预舒适配置,HVAC,配置
Economy configuration,经济配置,HVAC,配置
Protection configuration,防护配置,HVAC,配置
Cool down configuration,冷却配置,HVAC,配置
Free cooling configuration,免费供冷配置,HVAC,配置
Warm-up configuration,预热配置,HVAC,配置
None,无,HVAC,配置选项
Radiant devices,辐射设备,HVAC,配置选项
Air treatment devices,空气处理设备,HVAC,配置选项
Radiant & air treatment devices,辐射与空气处理设备,HVAC,配置选项
Coil: Controller mode by comfort,舒适盘管控制器模式,HVAC,控制参数
Coil: Controller mode by pre-comfort,预舒适盘管控制器模式,HVAC,控制参数
Coil: Controller mode by economy,经济盘管控制器模式,HVAC,控制参数
Coil: Controller mode by protection,防护盘管控制器模式,HVAC,控制参数
Coil: Controller mode by cool down,冷却盘管控制器模式,HVAC,控制参数
Coil: Controller mode by warm-up,预热盘管控制器模式,HVAC,控制参数
Radiant devices: Controller mode by comfort,舒适辐射设备控制器模式,HVAC,控制参数
Radiant devices: Controller mode by pre-comfort,预舒适辐射设备控制器模式,HVAC,控制参数
Radiant devices: Controller mode by economy,经济辐射设备控制器模式,HVAC,控制参数
Radiant devices: Controller mode by protection,防护辐射设备控制器模式,HVAC,控制参数
Radiant devices: Controller mode by cool down,冷却辐射设备控制器模式,HVAC,控制参数
Radiant devices: Controller mode by warm-up,预热辐射设备控制器模式,HVAC,控制参数


# ==================== 风机盘管控制序列 ====================
Radiator heating sequence,散热器制热顺序,HVAC,控制顺序
Radiant ceiling heating sequence,辐射吊顶制热顺序,HVAC,控制顺序
Heating/cooling coil heating sequence,冷热盘管制热顺序,HVAC,控制顺序
Heating coil heating sequence,加热盘管制热顺序,HVAC,控制顺序
Fan heating sequence,风机制热顺序,HVAC,控制顺序
Outside air damper cooling sequence,新风风阀制冷顺序,HVAC,控制顺序
Radiant ceiling cooling sequence,辐射吊顶制冷顺序,HVAC,控制顺序
Heating/cooling coil cooling sequence,冷热盘管制冷顺序,HVAC,控制顺序
Fan cooling sequence,风机制冷顺序,HVAC,控制顺序
Sequence,顺序,HVAC,控制参数


# ==================== 通风柜 Fume Hood ====================
Fume hood,通风柜,FumeHood,实验室设备
Fume hood sash,通风柜窗扇,FumeHood,操作部件
Fume hood face area,通风柜迎风面积,FumeHood,设计参数
Face area,迎风面积,FumeHood,设计参数
Bypass opening,旁路开口,FumeHood,通风结构
Sash Open Area Module,窗扇开口面积模块,FumeHood,控制模块
Sash calibration,窗扇校准,FumeHood,调试操作
Airflow restrictor,气流限流器,FumeHood,流量控制
Perforated grille,多孔格栅,FumeHood,风口类型
Louvers,百叶窗,FumeHood,风口类型
Grille,格栅,FumeHood,风口
Hood,排风罩,FumeHood,设备
Capture velocity,捕集速度,FumeHood,设计参数
Face velocity,面风速,FumeHood,设计参数
Average face velocity,平均面风速,FumeHood,设计参数
Sash height,窗扇高度,FumeHood,几何参数
Sash opening,窗扇开口,FumeHood,操作参数
Sash travel,窗扇行程,FumeHood,操作参数
Closed sash,关闭窗扇,FumeHood,状态
Open sash,开启窗扇,FumeHood,状态
Maximum sash opening,最大窗扇开口,FumeHood,限值
Sash track,窗扇轨道,FumeHood,几何结构
Sash track height,窗扇轨道高度,FumeHood,配置参数
Width of vertical sash,垂直窗扇宽度,FumeHood,配置参数
Height of vertical sash,垂直窗扇高度,FumeHood,配置参数
Single vertical sash,单垂直窗扇,FumeHood,窗扇类型
Double vertical sash,双垂直窗扇,FumeHood,窗扇类型
Walk-in fume hood,步入式通风柜,FumeHood,通风柜类型
Fixed opening,固定开口,FumeHood,通风结构
Unrestricted bypass opening,无限制旁路开口,FumeHood,配置参数
Total area of fixed openings,固定开口总面积,FumeHood,配置参数
Area on sensor failure,传感器故障面积,FumeHood,故障模式
Face area valid signal,迎风面积有效信号,FumeHood,状态信号
Height of bypass opening,旁路开口高度,FumeHood,配置参数
SOAM (Sash Open Area Module),窗扇开口面积模块,FumeHood,硬件设备
Sensor bus (SCOM),传感器总线,FumeHood,通信接口
FhSash1Pos,通风柜窗扇1位置,FumeHood,输入信号
FhSash2Pos,通风柜窗扇2位置,FumeHood,输入信号
FhFaceArea,通风柜迎风面积,FumeHood,计算值
FhExtFaceArea,通风柜外部迎风面积,FumeHood,输入信号
ExtFaceArea,使用外部迎风面积,FumeHood,配置参数
SashTckHgt,窗扇轨道高度,FumeHood,配置参数
WdtVrtSash,垂直窗扇宽度,FumeHood,配置参数
WdtVrtSash1,垂直窗扇1宽度,FumeHood,配置参数
WdtVrtSash2,垂直窗扇2宽度,FumeHood,配置参数
HgtVrtSash1,垂直窗扇1高度,FumeHood,配置参数
HgtVrtSash2,垂直窗扇2高度,FumeHood,配置参数
HgtBypOpn,旁路开口高度,FumeHood,配置参数
BypOpnUrstd,无限制旁路开口,FumeHood,配置参数
TotAreaFixOpn,固定开口总面积,FumeHood,配置参数
AreaSenFail,传感器故障面积,FumeHood,故障值
FaceAreaVld,迎风面积有效,FumeHood,状态信号
Length unit,长度单位,FumeHood,单位
Area unit,面积单位,FumeHood,单位
LngtUnit,长度单位,FumeHood,参数
AreaUnit,面积单位,FumeHood,参数
TrndFhFaceArea,通风柜迎风面积趋势,FumeHood,趋势


# ==================== 通风柜排风设定值与面风速控制 ====================
Fume hood exhaust air setpoint,通风柜排风设定值,FumeHood,控制参数
Fume hood face velocity setpoint,通风柜面风速设定值,FumeHood,设定值
Fume hood face velocity,通风柜面风速,FumeHood,测量值
Exhaust level,排风等级,FumeHood,控制方式
Sash position switch,窗扇位置开关,FumeHood,输入开关
Emergency purge,紧急吹扫,FumeHood,安全功能
Occupied face velocity,有人面风速,FumeHood,设定值
Unoccupied face velocity,无人面风速,FumeHood,设定值
Low air volume flow,低风量模式,FumeHood,运行模式
Mid exhaust airflow setpoint,中间排风量设定值,FumeHood,设定值
Maximum exhaust airflow setpoint,最大排风量设定值,FumeHood,设定值
Control setpoint,控制设定值,FumeHood,设定值
Low flow setpoint,低流量设定值,FumeHood,设定值
Face velocity monitor,面风速监测,FumeHood,功能
Auto setpoint,自动设定值,FumeHood,设定值
Manual setpoint,手动设定值,FumeHood,设定值
Fume hood operating mode,通风柜运行模式,FumeHood,状态
Exhaust setpoint selection,排风设定值选择,FumeHood,选择模式
Relinquish manual mode,释放手动模式,FumeHood,控制
Manual operation lock,手动操作锁定,FumeHood,锁止功能
FhSpAirFlEh,通风柜排风量设定值,FumeHood,设定值
FhSpAirFlRelEh,通风柜相对排风量设定值,FumeHood,设定值
FhSpVFace,通风柜面风速设定值,FumeHood,设定值
FhVFace,通风柜面风速,FumeHood,测量值
FhVFaceEff,通风柜有效面风速,FumeHood,计算值
FhSpSelEh,通风柜排风设定值选择,FumeHood,选择状态
FhOpMod,通风柜运行模式,FumeHood,模式
FhUcdSpVFace,通风柜无人面风速设定值,FumeHood,设定值
FhOcdSpVFace,通风柜有人面风速设定值,FumeHood,设定值
FhSpAirFlMidEh,通风柜中间排风量设定值,FumeHood,设定值
FhSpAirFlManEh,通风柜手动排风量设定值,FumeHood,设定值
FhSashSwi,通风柜窗扇开关,FumeHood,输入信号
FhSashSwiCol,通风柜窗扇开关采集,FumeHood,采集接口
FhEei,通风柜能效指示,FumeHood,状态
FhAirFlReqEh,通风柜排风请求（来自房间）,FumeHood,需求信号
FhAflMinEffEh,通风柜有效最小排风量,FumeHood,计算值
FhAflMaxPvdEh,通风柜最大提供排风量,FumeHood,参数
FhAflMinPvdEh,通风柜最小提供排风量,FumeHood,参数
EeiRstInCol,能效指示复位输入采集,FumeHood,采集接口
EeiRstIn,能效指示复位输入,FumeHood,输入信号
SpSelEhIn,排风设定值选择输入,FumeHood,输入
SpSelEhInCol,排风设定值选择输入采集,FumeHood,采集接口
SpSelEhOdp,排风设定值选择输出至ODP,FumeHood,输出
SpSelEhOdpCol,排风设定值选择输出至ODP采集,FumeHood,采集接口
PrSpSelEh,当前排风设定值选择,FumeHood,当前值
PrSpSelEhCol,当前排风设定值选择采集,FumeHood,采集接口
SpEmgPrg,紧急吹扫设定值,FumeHood,设定值
SpEhFire,火灾排风设定值,FumeHood,设定值
TiIcrSpAirFlEh,增加排风设定值时间,FumeHood,时间参数
TiDcrSpAirFlEh,减少排风设定值时间,FumeHood,时间参数
DlyOnSpUcd,无人设定值开启延迟,FumeHood,时间参数
SpVFaceMaxReq,房间请求最大面风速设定值,FumeHood,设定值
SpAirFlMinReq,房间请求最小风量设定值,FumeHood,设定值
SpAirFlMaxReq,房间请求最大风量设定值,FumeHood,设定值
SpAirFlUcd,无人风量设定值,FumeHood,设定值
SpOff,关闭设定值,FumeHood,设定值参数
Sp1,设定值1,FumeHood,设定值参数
Sp2,设定值2,FumeHood,设定值参数
Sp3,设定值3,FumeHood,设定值参数
SpOffUnit,关闭设定值单位,FumeHood,单位
Sp1Unit,设定值1单位,FumeHood,单位
Sp2Unit,设定值2单位,FumeHood,单位
Sp3Unit,设定值3单位,FumeHood,单位
EmgPrgCnf,紧急吹扫配置,FumeHood,配置参数
SpSelEhLoAirFl,低风量排风设定值选择,FumeHood,配置参数
RlqManSpSelEh,释放手动排风设定值选择,FumeHood,配置参数
ManOpLockCnf,手动操作锁定配置,FumeHood,配置参数
ManSpAfPwrFail,断电后保留手动设定值,FumeHood,配置参数
AtnFltVFace,面风速衰减滤波,FumeHood,滤波参数
Air velocity unit,风速单位,FumeHood,单位
AirVUnit,风速单位,FumeHood,参数
Decommission,停用/退役,FumeHood,模式类别
Fire exhaust setpoint,火灾排风设定值,FumeHood,安全设定值


# ==================== 通风柜窗扇位置器 ====================
FhSashPsnr11,通风柜窗扇位置器,HVAC,控制模块
Sash positioner,窗扇位置器,HVAC,设备
Sash positioner close,窗扇位置器关闭,HVAC,功能
Sash positioner command,窗扇位置器命令,HVAC,控制信号
Pulse length close,脉冲关闭长度,HVAC,时间参数
Delay repeat close,重复关闭延迟,HVAC,时间参数
Enable close on energy efficiency reset,能效复位启用关闭,HVAC,配置参数
FhSashPsnrCls,通风柜窗扇自动关闭,HVAC,控制
FhSashPsnrCmd,通风柜窗扇位置器命令,HVAC,控制信号
PulseLngtCls,脉冲关闭长度,HVAC,时间参数
DlyRptCls,重复关闭延迟,HVAC,时间参数
EnClsEeiRst,能效复位启用关闭,HVAC,配置参数
FhSashClsIn,通风柜关闭输入,HVAC,输入信号
EeiRstIn,能效复位输入,HVAC,输入信号
Auto close,自动关闭,HVAC,功能
Pulse close,脉冲关闭,HVAC,功能


# ==================== 通风柜操作显示面板接口 ====================
FhOdpItf,通风柜操作显示面板接口,HVAC,接口
FhOdpItf11,通风柜操作显示面板接口11,HVAC,接口（QMX3.P87）
FhOdpItf12,通风柜操作显示面板接口12,HVAC,接口（QMX3.P88）
Operator display panel,操作显示面板,HVAC,设备
ODP interface,操作显示面板接口,HVAC,接口
QMX3.P87,QMX3.P87,HVAC,QMX3文本显示面板
QMX3.P88,QMX3.P88,HVAC,QMX3 LED显示面板
Face velocity result display,面风速结果显示,HVAC,显示功能
Exhaust air volume flow result display,排风量结果显示,HVAC,显示功能
DspyRslVFace,面风速结果显示,HVAC,显示字段
DspyRslAirFlEh,排风量结果显示,HVAC,显示字段
DspyWght,显示权重,HVAC,显示字段
DspyValue,显示值,HVAC,显示字段
Fld1Txt1Odp,字段1文本1操作面板,HVAC,显示配置
Fld2Txt1Odp,字段2文本1操作面板,HVAC,显示配置
Alarm indication,报警指示,HVAC,显示功能
AlmIndOdp,报警指示操作面板,HVAC,显示配置
Green LED,绿色LED,HVAC,指示灯
GrnLedOdp,绿色LED操作面板,HVAC,显示输出
Yellow LED,黄色LED,HVAC,指示灯
YlwLedOdp,黄色LED操作面板,HVAC,显示输出
Red LED,红色LED,HVAC,指示灯
RedLedOdp,红色LED操作面板,HVAC,显示输出
Buzzer mode,蜂鸣器模式,HVAC,音频指示
BzzModOdp,蜂鸣器模式操作面板,HVAC,配置参数
Buzzer state,蜂鸣器状态,HVAC,音频状态
BzzStaOdp,蜂鸣器状态操作面板,HVAC,状态
Buzzer silence,蜂鸣器静音,HVAC,功能
BzzSlncIn,蜂鸣器静音输入,HVAC,输入信号
Energy efficiency indicator,能效指示,HVAC,显示功能
EeiOdp,能效指示操作面板,HVAC,显示输出
LED off,LED关闭,HVAC,指示状态
LED flash,LED闪烁,HVAC,指示状态
LED blink,LED脉冲,HVAC,指示状态
LED on,LED亮起,HVAC,指示状态
5 flashes,5次闪烁,HVAC,指示状态
5 flashes per minute,每分钟5次闪烁,HVAC,指示状态
Buzzer off,蜂鸣器关闭,HVAC,音频状态
Short buzz,短蜂鸣,HVAC,音频状态
Long buzz,长蜂鸣,HVAC,音频状态
5 buzz,5次蜂鸣,HVAC,音频状态
5 buzz per minute,每分钟5次蜂鸣,HVAC,音频状态
Buzzer on,蜂鸣器开启,HVAC,音频状态
Energy efficiency leaf,能效等级,HVAC,显示图标
Undefined,未定义,HVAC,状态
Poor,差,HVAC,能效等级
Satisfactory,一般,HVAC,能效等级
Good,良好,HVAC,能效等级
Excellent,优秀,HVAC,能效等级


# ==================== 通风柜启动行为 ====================
Fume hood startup behavior,通风柜启动行为,FumeHood,技术说明
Startup behavior,启动行为,FumeHood,状态
FAILED - DO NOT USE,故障-请勿使用,FumeHood,ODP显示
Initialize setpoint,初始化设定值,FumeHood,启动参数
Store dynamic data,存储动态数据,FumeHood,功能
30-minute interval,30分钟间隔,FumeHood,参数







# ==================== 实验室应用 ====================
Lab,实验室,Lab,功能区域
Laboratory,实验室,Lab,功能区域
Room pressurization,房间压差,Lab,环境控制
Room pressurization control,房间压差控制,Lab,控制功能
Critical spaces,关键区域,Lab,高要求空间
Critical space,关键空间,Lab,高要求空间
Pressurization,压差控制,Lab,环境控制
Airflow for critical spaces,关键空间通风,Lab,通风策略
Airflow limits,风量限值,Lab,安全参数
Clean room,洁净室,Lab,特殊空间
Biosafety cabinet,生物安全柜,Lab,实验设备
Isolation room,隔离室,Lab,特殊空间
Negative pressure,负压,Lab,压差状态
Positive pressure,正压,Lab,压差状态
Air change rate,换气次数,Lab,通风参数


# ==================== 文丘里阀校准 ====================
Venturi valve calibration,文丘里阀校准,HVAC,调试功能
Active calibration data table,活动校准数据表,HVAC,数据
Inactive calibration data table,非活动校准数据表,HVAC,数据
Active air flow,活动风量,HVAC,校准数据
Active valve position,活动阀位,HVAC,校准数据
Inactive air flow,非活动风量,HVAC,校准数据
Inactive valve position,非活动阀位,HVAC,校准数据
Search attempts,搜索尝试次数,HVAC,校准参数
Holding time,保持时间,HVAC,校准参数
Measuring period,测量周期,HVAC,校准参数
Number of valid calibration points,有效校准点数,HVAC,校准状态
Remaining calibration time,剩余校准时间,HVAC,校准状态
Calibration error,校准错误,HVAC,错误状态
Air volume flow units (SI),风量单位(SI),HVAC,单位配置


# ==================== 除湿控制 ====================
Dehumidification,除湿,HVAC,功能
Humidity control,湿度控制,HVAC,功能
Dehumidification control,除湿控制,HVAC,控制功能
Relative humidity,相对湿度,HVAC,物理量
Room humidity,房间湿度,HVAC,物理量
Dehumidification cooling request,除湿制冷请求,HVAC,需求信号
Maximum deviation heating for dehumidification,除湿最大偏差加热,HVAC,控制参数
SpHuRelR,房间相对湿度设定值,HVAC,设定值
SpHuRelRCmf,舒适房间相对湿度设定值,HVAC,设定值
HDvnMaxDhu,除湿最大偏差加热,HVAC,控制参数
HysHDvnMaxDhu,除湿最大偏差加热滞环,HVAC,控制参数
DhuCtr,除湿控制器,HVAC,控制器
DhuAvl,除湿可用,HVAC,状态
DhuReq,除湿请求,HVAC,需求信号
PrSpDhu,除湿预设设定值,HVAC,设定值
DhuCtl,除湿控制,HVAC,应用函数


# ==================== 能耗与监测 ====================
Energy,能量,Energy,能源
Energy consumption,能耗,Energy,能源统计
Power consumption,功耗,Energy,能源统计
Power demand,功率需求,Energy,能源参数
Energy efficiency,能效,Energy,性能指标
COP (Coefficient of Performance),性能系数,Energy,能效指标
EER (Energy Efficiency Ratio),能效比,Energy,能效指标
kWh,kWh,Energy,能耗单位
Runtime,运行时间,Energy,时间统计
Operating hours,运行小时数,Energy,时间统计
Maintenance,维护,Maintenance,工作内容
Predictive maintenance,预测性维护,Maintenance,维护策略
Preventive maintenance,预防性维护,Maintenance,维护策略
CMMS,CMMS计算机维护管理系统,Maintenance,系统缩写


# 系统模式
Plant mode,主机模式/System,系统运行模式
PltOpMod (Plant Operation Mode),主机运行模式,System,变量名
Economy,经济模式,Mode,运行模式
Pre-Comfort,预舒适模式,Mode,运行模式
Comfort,舒适模式,Mode,运行模式
Warm-up,预热模式,Mode,运行模式
Cool down,冷却模式,Mode,运行模式
Night cooling,夜间冷却,Mode,运行模式
Free cooling,免费供冷,Mode,运行模式
Purge, purge冲洗/吹扫,Mode,运行模式
Protection,保护模式,Mode,运行模式
Ventilation mode,通风模式,Mode,运行模式
Changeover condition,切换条件,System,转换条件
Changeover function,切换功能,System,转换机制
Neither,两者皆否,State,状态选项
Neutral,中性/中间状态,State,状态选项
Air volume flow off,风量关断,State,状态


# ==================== 运行模式详细参数 ====================
Plant operating mode,主机运行模式,HVAC,模式
HVAC plant operating mode,HVAC主机运行模式,HVAC,模式
Cool down request,冷却请求,HVAC,需求信号
Warm-up request,预热请求,HVAC,需求信号
Night cooling request,夜间冷却请求,HVAC,需求信号
Free cooling request,免费供冷请求,HVAC,需求信号
Cool down,冷却,HVAC,模式
Warm-up,预热,HVAC,模式
Night cooling,夜间冷却,HVAC,模式
Free cooling,免费供冷,HVAC,模式
Switch delay when present,存在时切换延迟,HVAC,时间参数
Switch delay when absent,不在时切换延迟,HVAC,时间参数
HvacPltMod,HVAC主机模式,HVAC,缩写
PltOpMod,主机运行模式,HVAC,缩写
Hvac Psc Mod,HVAC占用模式,HVAC,缩写
Psc Det,占用检测,HVAC,缩写
Cons. present & absent,持续存在与不在,HVAC,缩写
Central operating mode,中央运行模式,HVAC,模式
Operating strategy,运行策略,HVAC,策略
Operating mode extended,扩展运行模式,HVAC,功能
HvacPscMod,HVAC占用模式,HVAC,信号
LgtPscMod,照明占用模式,HVAC,信号
ShdPscMod,遮阳占用模式,HVAC,信号
LgtOpStrgy,照明运行策略,HVAC,信号
ShdOpStrgy,遮阳运行策略,HVAC,信号
CenOpModMst,中央运行模式管理器,HVAC,接口
Hierarchical grouping,层级分组,HVAC,组织方式
Room HVAC coordination,房间HVAC协调,HVAC,功能
Room lighting coordination,房间照明协调,HVAC,功能
Room shading coordination,房间遮阳协调,HVAC,功能
Lighting presence mode,照明占用模式,HVAC,模式
Shading presence mode,遮阳占用模式,HVAC,模式
Lighting operating strategy,照明运行策略,HVAC,策略
